code,name,name_normalized,sector_slug
24691112,Ingenieros Técnicos Sanitarios,ingenieros tecnicos sanitarios,tech
24691121,"Ingenieros Técnicos Textil, en General","ingenieros tecnicos textil, en general",tech
24711014,Ingenieros Técnicos en Electricidad Industrial,ingenieros tecnicos en electricidad industrial,tech
24711023,"Ingenieros Técnicos en Electricidad, en General","ingenieros tecnicos en electricidad, en general",tech
24721017,Ingenieros Técnicos en Electrónica Industrial,ingenieros tecnicos en electronica industrial,tech
24721026,"Ingenieros Técnicos en Electrónica, en General","ingenieros tecnicos en electronica, en general",tech
24731010,Ingenieros Técnicos en Telecomunicaciones,ingenieros tecnicos en telecomunicaciones,tech
24731029,Ingenieros Técnicos en Telecomunicaciones de Imagen y Sonido,ingenieros tecnicos en telecomunicaciones de imagen y sonido,tech
24811013,Arquitectos Técnicos,arquitectos tecnicos,tech
24821016,Diseñadores Artísticos de Productos Industriales,disenadores artisticos de productos industriales,tech
24821025,Diseñadores de Calzado,disenadores de calzado,tech
24821034,Diseñadores de Estampados Textiles,disenadores de estampados textiles,tech
24821043,Diseñadores de Joyería y Bisutería,disenadores de joyeria y bisuteria,tech
24821052,Diseñadores de Muebles,disenadores de muebles,tech
24821061,Diseñadores de Prendas y Artículos de Piel y Cuero (Excepto Calzado),disenadores de prendas y articulos de piel y cuero (excepto calzado),tech
24821070,Diseñadores de Productos Artesanales,disenadores de productos artesanales,tech
24821081,Diseñadores Prendas Vestir (Excepto Piel y Cuero),disenadores prendas vestir (excepto piel y cuero),tech
24831019,Ingenieros Técnicos Topógrafos,ingenieros tecnicos topografos,tech
24841012,Diseñadores Gráficos y Multimedia,disenadores graficos y multimedia,tech
25111013,Abogados (Derecho Civil),abogados (derecho civil),legal
25111022,Abogados (Derecho Penal),abogados (derecho penal),legal
25111031,Abogados Laboralistas,abogados laboralistas,legal
25111040,"Abogados, en General","abogados, en general",legal
25121016,Fiscales,fiscales,legal
25131019,Jueces y/o Magistrados,jueces y/o magistrados,legal
25911015,Notarios,notarios,legal
25911024,Registradores de la Propiedad,registradores de la propiedad,legal
25921018,Procuradores de los Tribunales,procuradores de los tribunales,legal
25991019,Asesores Fiscales y Tributarios,asesores fiscales y tributarios,legal
25991028,Asesores Jurídicos (Sector Privado),asesores juridicos (sector privado),legal
25991037,Gestores Administrativos Titulados,gestores administrativos titulados,legal
25991046,Secretarios de Juzgado,secretarios de juzgado,legal
26111016,Auditores de Cuentas,auditores de cuentas,comercial
26111025,Interventores de Empresa,interventores de empresa,comercial
26111034,Técnicos Medios en Auditoría,tecnicos medios en auditoria,comercial
26111043,"Técnicos Medios en Contabilidad, en General","tecnicos medios en contabilidad, en general",comercial
26111052,"Técnicos Superiores en Contabilidad y/o Finanzas, en General","tecnicos superiores en contabilidad y/o finanzas, en general",comercial
26121019,Asesores Financieros y en Inversiones,asesores financieros y en inversiones,comercial
26131012,Analistas Presupuestarios y/o de Riesgos,analistas presupuestarios y/o de riesgos,comercial
26211015,Analistas de Gestión y Organización,analistas de gestion y organizacion,comercial
26221018,Agentes de Patentes y Marcas,agentes de patentes y marcas,comercial
26221027,Asesores de Empresas,asesores de empresas,comercial
26221036,"Técnicos Medios en Organización y Administración de Empresas, en General","tecnicos medios en organizacion y administracion de empresas, en general",comercial
26221045,"Técnicos Superiores en Organización y Administración de Empresas, en General","tecnicos superiores en organizacion y administracion de empresas, en general",comercial
26231011,Inspectores de Buques de la Marina Civil,inspectores de buques de la marina civil,comercial
26241014,Graduados Sociales,graduados sociales,comercial
26241023,Orientadores Profesionales para la Inserción,orientadores profesionales para la insercion,comercial
26241032,Técnicos Medios en Orientación Profesional,tecnicos medios en orientacion profesional,comercial
26241041,"Técnicos Medios en Recursos Humanos, en General","tecnicos medios en recursos humanos, en general",comercial
26241050,"Técnicos Superiores en Recursos Humanos, en General","tecnicos superiores en recursos humanos, en general",comercial
26251017,Especialistas en Formación de Personal,especialistas en formacion de personal,comercial
26301011,Agentes de Desarrollo Turístico,agentes de desarrollo turistico,comercial
26301020,Técnicos de Información Turística,tecnicos de informacion turistica,comercial
26301039,Técnicos en Empresas y Actividades Turísticas,tecnicos en empresas y actividades turisticas,comercial
26401010,Organizadores de Puntos de Venta en Autoservicios,organizadores de puntos de venta en autoservicios,comercial
26401029,Técnicos en Servicios Posventa,tecnicos en servicios posventa,comercial
